"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle","dual_distance","dual_intensity","dual_return_matching"
0.08870385587215424,4.982176303863525,-0.4359530210494995,0.08870385877070142,4.982176290060139,-0.4359530252237862,22.0,10.0,102.0,5.002,3985648483964.0,448483964.0,-5.0,0.0,0.0,-1.0
0.08971051126718521,4.989786148071289,0.9700729250907898,0.08971050856311213,4.989786220901167,0.9700729324943539,7.0,11.0,103.0,5.084000000000001,3985648483967.0,448483967.0,11.0,0.0,0.0,-1.0
0.0905190110206604,4.986334323883057,-0.2613657712936401,0.09051901152926896,4.986334349518516,-0.2613657654772615,50.0,12.0,104.0,4.994,3985648483969.0,448483969.0,-3.0,0.0,0.0,-1.0
0.09235228598117828,5.087322235107422,1.174694418907166,0.09235228786733309,5.087322292517571,1.174694405783663,101.0,13.0,104.0,5.222,3985648483971.0,448483971.0,13.0,0.0,0.0,-1.0
0.09117097407579422,4.974406719207764,-0.08684317767620087,0.09117097073137484,4.974406710066085,-0.08684317443192276,35.0,14.0,105.0,4.976,3985648483973.0,448483973.0,-1.0,0.0,0.0,-1.0
0.1039265766739845,5.616863250732422,1.50529158115387,0.1039265796429723,5.616863231949025,1.50529156631626,78.0,15.0,106.0,5.816,3985648483976.0,448483976.0,15.0,0.0,0.0,-1.0
0.1003752425312996,5.134236812591553,0.08963555842638016,0.1003752399734389,5.134236679164706,0.08963555946188811,30.0,1.0,112.0,5.136,3985648483999.0,448483999.0,1.0,0.0,0.0,-1.0
0.08331838995218277,4.224047183990479,-0.9753877520561218,0.08331838874986168,4.224046962456862,-0.9753877716349987,3.0,2.0,113.0,4.336,3985648484001.0,448484001.0,-13.0,0.0,0.0,-1.0
0.09952440112829208,5.001381874084473,-0.9723626375198364,0.09952439805047085,5.001381987978067,-0.9723626404388723,4.0,4.0,114.0,5.096,3985648484006.0,448484006.0,-11.0,0.0,0.0,-1.0
0.1046063378453255,5.21104097366333,0.4559988379478455,0.1046063404890655,5.211040833262135,0.4559988460557475,1.0,5.0,115.0,5.232,3985648484008.0,448484008.0,5.0,1.0,1.0,120.0
0.1003432422876358,4.998671531677246,-0.7918712496757507,0.1003432390260918,4.998671337340253,-0.7918712620336487,19.0,6.0,115.0,5.062,3985648484010.0,448484010.0,-9.0,0.0,0.0,-1.0
0.1105546429753304,5.459869861602783,0.6705251336097717,0.1105546421675943,5.459869753446516,0.6705251274151214,1.0,7.0,116.0,5.502,3985648484013.0,448484013.0,7.0,1.0,1.0,121.0
0.101657934486866,4.977573394775391,-0.6112966537475586,0.101657935054751,4.977573515142232,-0.6112966265202198,22.0,8.0,117.0,5.016,3985648484015.0,448484015.0,-7.0,0.0,0.0,-1.0
0.1058795973658562,5.184282779693604,0.8212809562683105,0.1058795962619147,5.184282701231483,0.8212809414612121,1.0,9.0,117.0,5.25,3985648484017.0,448484017.0,9.0,0.0,0.0,-1.0
0.1024522334337234,4.973941326141357,-0.435255765914917,0.1024522351302766,4.973941288969804,-0.4352557792818049,22.0,10.0,118.0,4.994,3985648484020.0,448484020.0,-5.0,0.0,0.0,-1.0
0.1119618862867355,5.389933586120605,1.047922968864441,0.111961887161197,5.389933758074247,1.047923002607984,1.0,11.0,119.0,5.492,3985648484022.0,448484022.0,11.0,0.0,0.0,-1.0
0.1038217544555664,4.998061180114746,-0.261993795633316,0.1038217527727274,4.998061253527189,-0.2619937969521768,30.0,12.0,119.0,5.006,3985648484024.0,448484024.0,-3.0,0.0,0.0,-1.0
0.1035791635513306,4.944817543029785,1.141851544380188,0.1035791657859371,4.944817730711019,1.141851551849459,15.0,13.0,120.0,5.076000000000001,3985648484026.0,448484026.0,13.0,0.0,0.0,-1.0
0.1049773097038269,4.970134258270264,-0.08677336573600769,0.1049773064680728,4.97013421833726,-0.08677336480617363,35.0,14.0,121.0,4.972,3985648484029.0,448484029.0,-1.0,0.0,0.0,-1.0
0.118427149951458,5.60691499710083,1.502703428268433,0.118427146521441,5.606914800059835,1.502703375865236,81.0,15.0,121.0,5.806,3985648484031.0,448484031.0,15.0,0.0,0.0,-1.0
0.03292657807469368,1.867681622505188,0.2293581068515778,0.03292657650800948,1.867681637902095,0.2293581042884876,1.0,7.0,101.0,1.882,3985648483957.0,448483957.0,7.0,0.0,0.0,-1.0
0.03766787797212601,1.876452803611755,0.1642014235258102,0.03766787948803506,1.876452777115034,0.164201419336588,1.0,5.0,115.0,1.884,3985648484008.0,448484008.0,5.0,-1.0,-1.0,108.0
